Start,Finish,Distance (mi),Flights Climbed (count),Steps (count)
11-Dec-2014 18:00,11-Dec-2014 19:00,1.12874562994379,4.0,2458.0
11-Dec-2014 19:00,11-Dec-2014 20:00,0.0634295136568456,0.0,132.0
11-Dec-2014 20:00,11-Dec-2014 21:00,0.0,0.0,0.0
11-Dec-2014 21:00,11-Dec-2014 22:00,1.92326146966755,1.0,3322.0
11-Dec-2014 22:00,11-Dec-2014 23:00,0.229988058702037,0.0,467.0
11-Dec-2014 23:00,12-Dec-2014 00:00,0.264493250044798,1.0,549.0
12-Dec-2014 00:00,12-Dec-2014 01:00,0.0,0.0,0.0
12-Dec-2014 01:00,12-Dec-2014 02:00,0.0,0.0,0.0
12-Dec-2014 02:00,12-Dec-2014 03:00,0.0,0.0,0.0
12-Dec-2014 03:00,12-Dec-2014 04:00,0.0,0.0,0.0
12-Dec-2014 04:00,12-Dec-2014 05:00,0.0,0.0,0.0
12-Dec-2014 05:00,12-Dec-2014 06:00,0.0,0.0,0.0
12-Dec-2014 06:00,12-Dec-2014 07:00,0.0,0.0,0.0
12-Dec-2014 07:00,12-Dec-2014 08:00,0.282456447996176,0.0,531.0
12-Dec-2014 08:00,12-Dec-2014 09:00,0.307278892148872,4.0,642.0
12-Dec-2014 09:00,12-Dec-2014 10:00,0.810740106877183,3.0,1607.0
12-Dec-2014 10:00,12-Dec-2014 11:00,0.0,0.0,0.0
12-Dec-2014 11:00,12-Dec-2014 12:00,0.0521578129233322,0.0,97.0
12-Dec-2014 12:00,12-Dec-2014 13:00,0.301525055589538,2.0,674.0
12-Dec-2014 13:00,12-Dec-2014 14:00,0.198303115858215,0.0,420.0
12-Dec-2014 14:00,12-Dec-2014 15:00,0.13435829191131,0.0,292.0
12-Dec-2014 15:00,12-Dec-2014 16:00,0.249404415712416,1.0,546.0
12-Dec-2014 16:00,12-Dec-2014 17:00,0.00810865133557569,0.0,15.0
12-Dec-2014 17:00,12-Dec-2014 18:00,0.0658340836390505,0.0,148.0
12-Dec-2014 18:00,12-Dec-2014 19:00,0.147183466135891,0.0,314.0
12-Dec-2014 19:00,12-Dec-2014 20:00,0.978945992513002,1.0,2104.0
12-Dec-2014 20:00,12-Dec-2014 21:00,0.467054894532316,2.0,1024.0
12-Dec-2014 21:00,12-Dec-2014 22:00,0.287106137073716,0.0,611.0
12-Dec-2014 22:00,12-Dec-2014 23:00,0.473905924556991,4.0,1038.0
12-Dec-2014 23:00,13-Dec-2014 00:00,0.152316477629945,1.0,341.0
13-Dec-2014 00:00,13-Dec-2014 01:00,0.0,0.0,0.0
13-Dec-2014 01:00,13-Dec-2014 02:00,0.0,0.0,0.0
13-Dec-2014 02:00,13-Dec-2014 03:00,0.0,0.0,0.0
13-Dec-2014 03:00,13-Dec-2014 04:00,0.0,0.0,0.0
13-Dec-2014 04:00,13-Dec-2014 05:00,0.0,0.0,0.0
13-Dec-2014 05:00,13-Dec-2014 06:00,0.0,0.0,0.0
13-Dec-2014 06:00,13-Dec-2014 07:00,0.0,0.0,0.0
13-Dec-2014 07:00,13-Dec-2014 08:00,0.0,0.0,0.0
13-Dec-2014 08:00,13-Dec-2014 09:00,0.0,0.0,0.0
13-Dec-2014 09:00,13-Dec-2014 10:00,0.0,0.0,0.0
13-Dec-2014 10:00,13-Dec-2014 11:00,0.429791434040881,0.0,887.0
13-Dec-2014 11:00,13-Dec-2014 12:00,0.246577735050421,5.0,563.0
13-Dec-2014 12:00,13-Dec-2014 13:00,1.90404423575077,0.0,4129.22643381941
13-Dec-2014 13:00,13-Dec-2014 14:00,1.44668326758709,0.0,3183.77356618059
13-Dec-2014 14:00,13-Dec-2014 15:00,1.18861808950142,1.0,2555.0
13-Dec-2014 15:00,13-Dec-2014 16:00,0.971564491109098,1.0,2036.0
13-Dec-2014 16:00,13-Dec-2014 17:00,0.0,0.0,0.0
13-Dec-2014 17:00,13-Dec-2014 18:00,0.0,0.0,0.0
13-Dec-2014 18:00,13-Dec-2014 19:00,0.0,0.0,0.0
13-Dec-2014 19:00,13-Dec-2014 20:00,0.0,0.0,0.0
13-Dec-2014 20:00,13-Dec-2014 21:00,0.608382244122049,2.0,1432.54438030773
13-Dec-2014 21:00,13-Dec-2014 22:00,0.400388546186276,2.0,922.455619692266
13-Dec-2014 22:00,13-Dec-2014 23:00,0.0,0.0,0.0
13-Dec-2014 23:00,14-Dec-2014 00:00,0.248415998615422,0.0,537.0
14-Dec-2014 00:00,14-Dec-2014 01:00,0.204272041511886,0.0,452.0
14-Dec-2014 01:00,14-Dec-2014 02:00,0.0,0.0,0.0
14-Dec-2014 02:00,14-Dec-2014 03:00,0.0,0.0,0.0
14-Dec-2014 03:00,14-Dec-2014 04:00,0.0,0.0,0.0
14-Dec-2014 04:00,14-Dec-2014 05:00,0.0,0.0,0.0
14-Dec-2014 05:00,14-Dec-2014 06:00,0.0,0.0,0.0
14-Dec-2014 06:00,14-Dec-2014 07:00,0.0,0.0,0.0
14-Dec-2014 07:00,14-Dec-2014 08:00,0.0,0.0,0.0
14-Dec-2014 08:00,14-Dec-2014 09:00,0.0,0.0,0.0
14-Dec-2014 09:00,14-Dec-2014 10:00,0.0,0.0,0.0
14-Dec-2014 10:00,14-Dec-2014 11:00,0.365573955977338,0.0,530.90073704995
14-Dec-2014 11:00,14-Dec-2014 12:00,0.599586491782225,0.0,1104.09926295005
14-Dec-2014 12:00,14-Dec-2014 13:00,0.0,0.0,0.0
14-Dec-2014 13:00,14-Dec-2014 14:00,0.0,0.0,0.0
14-Dec-2014 14:00,14-Dec-2014 15:00,0.0,0.0,0.0
14-Dec-2014 15:00,14-Dec-2014 16:00,0.0,0.0,0.0
14-Dec-2014 16:00,14-Dec-2014 17:00,0.0,0.0,0.0
14-Dec-2014 17:00,14-Dec-2014 18:00,0.0,0.0,0.0
14-Dec-2014 18:00,14-Dec-2014 19:00,1.67938226777884,2.0,3600.0
14-Dec-2014 19:00,14-Dec-2014 20:00,1.09851847237074,1.0,2518.0
14-Dec-2014 20:00,14-Dec-2014 21:00,0.783184806798471,1.0,1810.0
14-Dec-2014 21:00,14-Dec-2014 22:00,0.0,0.0,0.0
14-Dec-2014 22:00,14-Dec-2014 23:00,0.763789396906614,1.0,1697.14421195586
14-Dec-2014 23:00,15-Dec-2014 00:00,0.141614702999298,1.0,329.855788044136
15-Dec-2014 00:00,15-Dec-2014 01:00,0.0,0.0,0.0
15-Dec-2014 01:00,15-Dec-2014 02:00,0.0,0.0,0.0
15-Dec-2014 02:00,15-Dec-2014 03:00,0.0,0.0,0.0
15-Dec-2014 03:00,15-Dec-2014 04:00,0.0,0.0,0.0
15-Dec-2014 04:00,15-Dec-2014 05:00,0.0,0.0,0.0
15-Dec-2014 05:00,15-Dec-2014 06:00,0.0,0.0,0.0
15-Dec-2014 06:00,15-Dec-2014 07:00,0.0,0.0,0.0
15-Dec-2014 07:00,15-Dec-2014 08:00,0.264466874873568,1.0,549.0
15-Dec-2014 08:00,15-Dec-2014 09:00,0.294420776970944,4.0,658.0
15-Dec-2014 09:00,15-Dec-2014 10:00,0.595515660936215,6.0,1239.0
15-Dec-2014 10:00,15-Dec-2014 11:00,0.0741480402246559,0.0,160.0
15-Dec-2014 11:00,15-Dec-2014 12:00,0.0748051707949762,0.0,168.0
15-Dec-2014 12:00,15-Dec-2014 13:00,0.26149332496483,2.0,590.0
15-Dec-2014 13:00,15-Dec-2014 14:00,0.021110141975563,0.0,47.0
15-Dec-2014 14:00,15-Dec-2014 15:00,0.0,0.0,0.0
15-Dec-2014 15:00,15-Dec-2014 16:00,0.288195272726658,0.0,620.0
15-Dec-2014 16:00,15-Dec-2014 17:00,0.104350363331687,0.0,231.0
15-Dec-2014 17:00,15-Dec-2014 18:00,0.0,0.0,0.0
15-Dec-2014 18:00,15-Dec-2014 19:00,0.22097960959774,0.0,510.0
15-Dec-2014 19:00,15-Dec-2014 20:00,0.222994485515971,0.0,478.0
15-Dec-2014 20:00,15-Dec-2014 21:00,1.25837885369942,1.0,2655.0
15-Dec-2014 21:00,15-Dec-2014 22:00,0.0,0.0,0.0
15-Dec-2014 22:00,15-Dec-2014 23:00,0.0,0.0,0.0
15-Dec-2014 23:00,16-Dec-2014 00:00,0.0,0.0,0.0
16-Dec-2014 00:00,16-Dec-2014 01:00,0.0,0.0,0.0
16-Dec-2014 01:00,16-Dec-2014 02:00,0.0,0.0,0.0
16-Dec-2014 02:00,16-Dec-2014 03:00,0.0,0.0,0.0
16-Dec-2014 03:00,16-Dec-2014 04:00,0.0,0.0,0.0
16-Dec-2014 04:00,16-Dec-2014 05:00,0.0,0.0,0.0
16-Dec-2014 05:00,16-Dec-2014 06:00,0.0,0.0,0.0
16-Dec-2014 06:00,16-Dec-2014 07:00,0.0,0.0,0.0
16-Dec-2014 07:00,16-Dec-2014 08:00,0.260746632173312,1.0,530.0
16-Dec-2014 08:00,16-Dec-2014 09:00,0.254582539340979,4.0,556.0
16-Dec-2014 09:00,16-Dec-2014 10:00,0.649279590396513,6.0,1355.0
16-Dec-2014 10:00,16-Dec-2014 11:00,0.0461390043827695,0.0,103.0
16-Dec-2014 11:00,16-Dec-2014 12:00,0.0870416357861889,0.0,196.0
16-Dec-2014 12:00,16-Dec-2014 13:00,0.301992693239968,2.0,672.0
16-Dec-2014 13:00,16-Dec-2014 14:00,0.0,0.0,0.0
16-Dec-2014 14:00,16-Dec-2014 15:00,0.205364709671506,0.0,437.0
16-Dec-2014 15:00,16-Dec-2014 16:00,0.125101835855388,0.0,273.0
16-Dec-2014 16:00,16-Dec-2014 17:00,0.0562640982707977,0.0,118.0
16-Dec-2014 17:00,16-Dec-2014 18:00,0.0,0.0,0.0
16-Dec-2014 18:00,16-Dec-2014 19:00,0.990821834501857,0.0,1779.0
16-Dec-2014 19:00,16-Dec-2014 20:00,0.224153036475409,1.0,500.0
16-Dec-2014 20:00,16-Dec-2014 21:00,0.0,0.0,0.0
16-Dec-2014 21:00,16-Dec-2014 22:00,0.0,0.0,0.0
16-Dec-2014 22:00,16-Dec-2014 23:00,0.0,0.0,0.0
16-Dec-2014 23:00,17-Dec-2014 00:00,0.0,0.0,0.0
17-Dec-2014 00:00,17-Dec-2014 01:00,0.0,0.0,0.0
17-Dec-2014 01:00,17-Dec-2014 02:00,0.0,0.0,0.0
17-Dec-2014 02:00,17-Dec-2014 03:00,0.0,0.0,0.0
17-Dec-2014 03:00,17-Dec-2014 04:00,0.0,0.0,0.0
17-Dec-2014 04:00,17-Dec-2014 05:00,0.0,0.0,0.0
17-Dec-2014 05:00,17-Dec-2014 06:00,0.0,0.0,0.0
17-Dec-2014 06:00,17-Dec-2014 07:00,0.0,0.0,0.0
17-Dec-2014 07:00,17-Dec-2014 08:00,0.273750375501191,0.0,557.0
17-Dec-2014 08:00,17-Dec-2014 09:00,0.275773685643288,6.0,600.0
17-Dec-2014 09:00,17-Dec-2014 10:00,0.619346067214406,6.0,1255.0
17-Dec-2014 10:00,17-Dec-2014 11:00,0.00731260894321199,0.0,17.0
17-Dec-2014 11:00,17-Dec-2014 12:00,0.10319066161679,0.0,233.0
17-Dec-2014 12:00,17-Dec-2014 13:00,0.335513135544051,3.0,746.0
17-Dec-2014 13:00,17-Dec-2014 14:00,0.0665419059359185,0.0,145.0
17-Dec-2014 14:00,17-Dec-2014 15:00,0.0478424195302841,0.0,108.0
17-Dec-2014 15:00,17-Dec-2014 16:00,0.187527106708884,0.0,423.0
17-Dec-2014 16:00,17-Dec-2014 17:00,0.113350969022421,0.0,248.0
17-Dec-2014 17:00,17-Dec-2014 18:00,0.0477086623081114,0.0,107.0
17-Dec-2014 18:00,17-Dec-2014 19:00,0.264162517166037,0.0,572.0
17-Dec-2014 19:00,17-Dec-2014 20:00,0.866849733881972,2.0,1866.06010847616
17-Dec-2014 20:00,17-Dec-2014 21:00,0.604624163361654,0.0,1320.93989152384
17-Dec-2014 21:00,17-Dec-2014 22:00,0.0,0.0,0.0
17-Dec-2014 22:00,17-Dec-2014 23:00,0.0,0.0,0.0
17-Dec-2014 23:00,18-Dec-2014 00:00,0.802466740219646,1.0,1822.0
18-Dec-2014 00:00,18-Dec-2014 01:00,0.0,0.0,0.0
18-Dec-2014 01:00,18-Dec-2014 02:00,0.0,0.0,0.0
18-Dec-2014 02:00,18-Dec-2014 03:00,0.0,0.0,0.0
18-Dec-2014 03:00,18-Dec-2014 04:00,0.0,0.0,0.0
18-Dec-2014 04:00,18-Dec-2014 05:00,0.0,0.0,0.0
18-Dec-2014 05:00,18-Dec-2014 06:00,0.0,0.0,0.0
18-Dec-2014 06:00,18-Dec-2014 07:00,0.0,0.0,0.0
18-Dec-2014 07:00,18-Dec-2014 08:00,0.282576548730725,0.0,568.0
18-Dec-2014 08:00,18-Dec-2014 09:00,0.293313972372315,7.0,633.0
18-Dec-2014 09:00,18-Dec-2014 10:00,1.16184777183146,2.0,2266.0
18-Dec-2014 10:00,18-Dec-2014 11:00,0.0878351909901556,0.0,184.0
18-Dec-2014 11:00,18-Dec-2014 12:00,0.0874351876557964,0.0,195.0
18-Dec-2014 12:00,18-Dec-2014 13:00,0.259744351935102,2.0,606.0
18-Dec-2014 13:00,18-Dec-2014 14:00,0.0677142898668949,0.0,148.0
18-Dec-2014 14:00,18-Dec-2014 15:00,0.095484655520458,0.0,213.0
18-Dec-2014 15:00,18-Dec-2014 16:00,0.0807502717801687,0.0,174.0
18-Dec-2014 16:00,18-Dec-2014 17:00,0.236770847715655,0.0,534.0
18-Dec-2014 17:00,18-Dec-2014 18:00,0.0915917840767898,0.0,205.0
18-Dec-2014 18:00,18-Dec-2014 19:00,0.155277945653376,0.0,352.0
18-Dec-2014 19:00,18-Dec-2014 20:00,0.792666459802942,1.0,1623.0
18-Dec-2014 20:00,18-Dec-2014 21:00,0.223152807983385,2.0,507.0
18-Dec-2014 21:00,18-Dec-2014 22:00,0.0,0.0,0.0
18-Dec-2014 22:00,18-Dec-2014 23:00,0.0,0.0,0.0
18-Dec-2014 23:00,19-Dec-2014 00:00,0.0,0.0,0.0
